"Geolocation","Fertilizer Grade","1996 January","1996 February","1996 March","1996 April","1996 May","1996 June","1996 July","1996 August","1996 September","1996 October","1996 November","1996 December","1996 Annual"
"....Camarines Norte","Urea (45-0-0)",410.00,425.00,421.00,420.00,430.00,430.00,430.00,424.00,423.00,425.00,425.00,425.00,424.00
"....Camarines Sur","Ammophos (16-20-0)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Camarines Sur","Ammosul (21-0-0)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Camarines Sur","Complete (14-14-14)",335.00,335.00,335.00,335.00,335.00,335.00,335.00,339.00,348.75,335.00,327.00,325.00,334.98
"....Camarines Sur","Urea (45-0-0)",394.00,405.00,405.00,406.00,410.00,410.00,410.00,394.00,383.00,380.00,388.00,390.00,397.92
"....Catanduanes","Ammophos (16-20-0)",..,..,..,..,..,..,..,375.00,375.00,375.00,373.00,365.00,372.60
"....Catanduanes","Ammosul (21-0-0)",258.00,260.00,250.00,239.00,235.00,245.00,238.00,245.00,245.00,245.00,245.00,245.00,245.83
"....Catanduanes","Complete (14-14-14)",359.00,360.00,360.00,368.00,370.00,375.00,375.00,375.00,..,..,..,365.00,367.44
"....Catanduanes","Urea (45-0-0)",425.00,425.00,425.00,429.00,430.00,430.00,441.00,435.00,435.00,435.00,435.00,435.00,431.67
"....Masbate","Ammophos (16-20-0)",335.00,340.00,340.00,340.00,345.00,345.00,354.00,354.00,358.75,360.00,360.00,360.00,349.31
"....Masbate","Ammosul (21-0-0)",225.00,230.00,234.00,215.00,220.00,220.00,220.00,220.00,243.00,250.00,250.00,250.00,231.42
"....Masbate","Complete (14-14-14)",338.00,344.00,345.00,345.00,348.00,349.00,356.00,360.00,363.75,365.00,365.00,365.00,353.65
"....Masbate","Urea (45-0-0)",420.00,420.00,424.00,420.00,420.00,420.00,424.00,425.00,433.00,434.00,434.00,430.00,425.33
"....Sorsogon","Ammophos (16-20-0)",335.00,340.00,340.00,340.00,340.00,340.00,340.00,344.00,345.00,345.00,350.00,350.00,342.42
"....Sorsogon","Ammosul (21-0-0)",225.00,225.00,225.00,225.00,225.00,225.00,225.00,228.00,240.00,240.00,240.00,240.00,230.25
"....Sorsogon","Complete (14-14-14)",345.00,345.00,345.00,345.00,345.00,345.00,345.00,355.00,340.00,335.00,360.00,360.00,347.08
"....Sorsogon","Urea (45-0-0)",400.00,390.00,390.00,390.00,390.00,390.00,390.00,402.00,400.00,400.00,410.00,410.00,396.83
"..REGION VI (WESTERN VISAYAS)","Ammophos (16-20-0)",306.60,309.33,313.33,309.80,311.60,319.17,319.83,318.17,318.04,318.40,320.40,320.00,315.39
"..REGION VI (WESTERN VISAYAS)","Ammosul (21-0-0)",199.20,201.83,201.17,202.33,204.50,204.50,207.00,205.33,202.00,202.00,201.20,201.40,202.71
