"Geolocation","Fertilizer Grade","2010 January","2010 February","2010 March","2010 April","2010 May","2010 June","2010 July","2010 August","2010 September","2010 October","2010 November","2010 December","2010 Annual"
"....Oriental Mindoro","Ammophos (16-20-0)",918.00,900.00,900.00,930.00,935.00,920.00,920.00,905.00,850.00,850.00,886.25,850.00,897.02
"....Oriental Mindoro","Ammosul (21-0-0)",554.00,550.00,550.00,550.00,550.00,550.00,550.00,527.50,527.50,530.00,527.50,530.00,541.38
"....Oriental Mindoro","Complete (14-14-14)",1050.00,1050.00,1050.00,1050.00,1050.00,1050.00,1050.00,1012.50,1050.00,1050.00,1012.50,1000.00,1039.58
"....Oriental Mindoro","Urea (45-0-0)",932.00,950.00,950.00,962.00,970.00,970.00,900.00,870.00,892.50,950.00,992.50,1000.00,944.92
"....Palawan","Ammophos (16-20-0)",1090.00,1090.00,1090.00,1058.00,1050.00,1020.00,1010.00,955.00,970.00,990.00,1022.50,1171.25,1043.06
"....Palawan","Ammosul (21-0-0)",635.00,635.00,635.00,607.00,625.00,612.50,600.00,585.00,587.50,600.00,612.50,632.50,613.92
"....Palawan","Complete (14-14-14)",1255.00,1255.00,1255.00,1195.00,1190.00,1151.25,1135.00,1065.00,1110.00,1058.00,811.84,1298.75,1148.32
"....Palawan","Urea (45-0-0)",1160.00,1160.00,1160.00,1096.00,1040.00,1037.50,1050.00,990.00,995.00,1078.00,1132.50,1193.75,1091.06
"....Romblon","Ammophos (16-20-0)",1050.00,1060.00,1050.00,1050.00,1050.00,1050.00,1010.00,1000.00,1000.00,1000.00,1000.00,1000.00,1026.67
"....Romblon","Ammosul (21-0-0)",..,635.00,..,..,..,..,..,..,..,..,..,..,635.00
"....Romblon","Complete (14-14-14)",1200.00,1213.75,1200.00,1200.00,1200.00,1200.00,1140.00,1122.50,1100.00,1100.00,1100.00,1102.50,1156.56
"....Romblon","Urea (45-0-0)",1000.00,1040.00,1000.00,1000.00,1000.00,1000.00,1000.00,987.50,950.00,950.00,950.00,982.50,988.33
"..REGION V (BICOL REGION)","Ammophos (16-20-0)",953.60,937.25,937.75,935.00,935.00,935.00,927.60,911.75,900.00,907.80,927.06,947.50,929.61
"..REGION V (BICOL REGION)","Ammosul (21-0-0)",638.80,640.00,644.00,641.10,634.38,625.00,630.00,623.00,620.63,634.00,608.50,590.63,627.50
"..REGION V (BICOL REGION)","Complete (14-14-14)",1097.17,1108.33,1089.38,1082.40,1083.75,1091.25,1090.17,1062.71,1050.94,1068.33,1085.83,1100.00,1084.19
"..REGION V (BICOL REGION)","Urea (45-0-0)",1047.50,1037.71,1034.17,1028.20,1030.00,1021.25,983.17,941.04,937.50,985.83,1010.00,1018.54,1006.24
"....Albay","Ammophos (16-20-0)",888.00,890.00,890.00,890.00,890.00,890.00,878.00,860.00,860.00,872.00,887.50,910.00,883.79
"....Albay","Ammosul (21-0-0)",526.00,530.00,530.00,530.00,530.00,530.00,522.00,510.00,510.00,510.00,517.50,540.00,523.79
"....Albay","Complete (14-14-14)",1056.00,1060.00,1060.00,1060.00,977.50,977.50,1040.00,1010.00,1010.00,1022.00,1037.50,1060.00,1030.88
"....Albay","Urea (45-0-0)",990.00,987.50,980.00,980.00,957.50,935.00,891.00,850.00,850.00,934.00,960.00,1010.00,943.75
"....Camarines Norte","Ammophos (16-20-0)",910.00,900.00,898.75,900.00,900.00,900.00,900.00,900.00,900.00,900.00,900.00,900.00,900.73
"....Camarines Norte","Ammosul (21-0-0)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Camarines Norte","Complete (14-14-14)",1074.00,1080.00,1078.75,1080.00,1080.00,1080.00,1080.00,1080.00,1080.00,1080.00,1080.00,1080.00,1079.40
"....Camarines Norte","Urea (45-0-0)",954.00,987.50,990.00,990.00,990.00,982.50,990.00,945.00,990.00,990.00,990.00,990.00,982.42
"....Camarines Sur","Ammophos (16-20-0)",1000.00,1000.00,1000.00,1000.00,1000.00,1000.00,1000.00,962.50,937.50,900.00,900.00,900.00,966.67
"....Camarines Sur","Ammosul (21-0-0)",838.00,850.00,850.00,838.00,820.00,820.00,820.00,820.00,820.00,820.00,692.50,570.00,796.54
"....Camarines Sur","Complete (14-14-14)",1060.00,1092.50,1057.50,1082.00,1092.50,1100.00,1100.00,1047.50,1037.50,1020.00,1035.00,1060.00,1065.38
"....Camarines Sur","Urea (45-0-0)",1054.00,1052.50,1050.00,1050.00,1050.00,1050.00,1050.00,995.00,965.00,950.00,965.00,980.00,1017.63
"....Catanduanes","Ammophos (16-20-0)",..,..,..,..,..,..,..,..,..,..,..,..,..
"....Catanduanes","Ammosul (21-0-0)",680.00,650.00,650.00,650.00,650.00,650.00,650.00,650.00,652.50,662.00,680.00,687.50,659.33
"....Catanduanes","Complete (14-14-14)",1215.00,1215.00,1215.00,1167.50,1215.00,1215.00,1160.00,1130.00,1113.13,1162.00,1180.00,1190.00,1181.47
