Geolocation,Commodity,Period,Stocks,Volume,Area Harvested,Self-Sufficiency Ratio,Import-Dependency Ratio,SU Gross Supply,UT Consumable,Farmgate Price,Wholesale Price,Retail Price,CPI All Income,CPI Bottom 30,Net Returns,Inflation Rate,NCR RPI
region viii (eastern visayas),Corn,2016,513.7215384615386,81603.0,57087.0,90.0,10.0,8412,2325,,32.93083333333334,,96.09534228,90.77873242666668,0.0,1.23,110.51666666666667
region ix (zamboanga peninsula),Corn,2016,513.7215384615386,258951.24,145555.0,90.0,10.0,8412,2325,12.819166666666666,19.763333333333332,,92.07228375666665,95.24455689583333,9355.0,1.23,110.51666666666667
region x (northern mindanao),Corn,2016,513.7215384615386,1223116.09,370806.0,90.0,10.0,8412,2325,11.567499999999997,21.551666666666666,16.153333333333332,91.98097182416666,84.43962933666667,21549.0,1.23,110.51666666666667
region xi (davao region),Corn,2016,513.7215384615386,219089.0,154584.0,90.0,10.0,8412,2325,11.729166666666666,22.317499999999995,16.26666666666667,86.1622357441667,79.36231794000001,0.0,1.23,110.51666666666667
region xii (soccsksargen),Corn,2016,513.7215384615386,1144010.0,383266.0,90.0,10.0,8412,2325,11.710833333333332,22.889166666666668,,94.60099475416666,102.93347347499999,14349.0,1.23,110.51666666666667
region xiii (caraga),Corn,2016,513.7215384615386,144528.86,44705.0,90.0,10.0,8412,2325,10.343636363636364,22.597499999999997,,88.4222163875,92.19638181583333,14008.0,1.23,110.51666666666667
bangsamoro autonomous region in muslim mindanao (barmm),Corn,2016,513.7215384615386,590579.86,261157.0,90.0,10.0,8412,2325,11.294166666666667,,,92.30111972333333,93.87088317749999,8396.0,1.23,110.51666666666667
philippines,Rice,2017,2404.616923076923,19276346.63,4811807.77,93.4,6.6,16256,12407,18.075,38.9025,39.52,94.63425683083334,94.24315050583334,28699.0,2.85,114.04166666666667
cordillera administrative region (car),Rice,2017,2404.616923076923,445006.0,115555.0,93.4,6.6,16256,12407,18.249166666666667,,41.6925,96.63793387166668,95.36382398083333,23031.0,2.85,114.04166666666667
region i (ilocos region),Rice,2017,2404.616923076923,1872052.0,411818.0,93.4,6.6,16256,12407,18.718333333333334,38.77333333333333,36.78666666666667,90.91400611333334,91.49513886166666,25727.0,2.85,114.04166666666667
region ii (cagayan valley),Rice,2017,2404.616923076923,2656978.51,587096.95,93.4,6.6,16256,12407,18.040833333333335,39.97833333333333,36.89333333333333,95.08908881249998,94.63834378583334,25075.0,2.85,114.04166666666667
region iii (central luzon),Rice,2017,2404.616923076923,3634807.0,720929.82,93.4,6.6,16256,12407,18.581666666666667,37.74833333333333,37.732499999999995,94.95535062666666,95.06459873666667,38002.0,2.85,114.04166666666667
region iv-a (calabarzon),Rice,2017,2404.616923076923,410833.0,116348.0,93.4,6.6,16256,12407,16.636666666666667,39.33333333333334,38.468333333333334,96.12136381166665,96.17259162666666,10916.0,2.85,114.04166666666667
mimaropa region (mimaropa),Rice,2017,2404.616923076923,1159830.0,302447.0,93.4,6.6,16256,12407,18.050833333333333,38.23083333333333,38.36666666666667,94.62418773333333,94.5069156375,18650.0,2.85,114.04166666666667
region v (bicol region),Rice,2017,2404.616923076923,1335077.0,363823.0,93.4,6.6,16256,12407,16.349999999999998,36.55916666666667,37.464999999999996,91.33753316166667,90.60208555083334,22262.0,2.85,114.04166666666667
region vi (western visayas),Rice,2017,2404.616923076923,2230836.72,654803.0,93.4,6.6,16256,12407,16.458333333333332,35.10416666666667,39.51916666666667,94.02782484166666,93.74849986416666,17998.0,2.85,114.04166666666667
region vii (central visayas),Rice,2017,2404.616923076923,325209.0,100830.0,93.4,6.6,16256,12407,18.570833333333333,38.40333333333333,43.60666666666666,95.61926103583333,97.88257414750001,13771.0,2.85,114.04166666666667
region viii (eastern visayas),Rice,2017,2404.616923076923,945565.0,272889.0,93.4,6.6,16256,12407,17.930000000000003,40.23083333333334,41.23833333333333,93.61345412666667,93.77654696,22531.0,2.85,114.04166666666667
region ix (zamboanga peninsula),Rice,2017,2404.616923076923,700590.0,172388.0,93.4,6.6,16256,12407,18.63416666666667,39.0625,40.615,93.38640293416665,93.47502449666666,29685.0,2.85,114.04166666666667
region x (northern mindanao),Rice,2017,2404.616923076923,745733.4,164177.0,93.4,6.6,16256,12407,19.7975,40.512499999999996,40.79416666666667,95.95000320083334,95.67108486166666,39347.0,2.85,114.04166666666667
region xi (davao region),Rice,2017,2404.616923076923,433665.0,101131.0,93.4,6.6,16256,12407,19.786666666666665,43.99583333333334,41.115833333333335,95.22279661,99.54973605833335,25461.0,2.85,114.04166666666667
region xii (soccsksargen),Rice,2017,2404.616923076923,1319505.0,351177.0,93.4,6.6,16256,12407,18.826666666666668,38.895833333333336,38.465,92.35986508166665,92.44503896750001,24915.0,2.85,114.04166666666667
region xiii (caraga),Rice,2017,2404.616923076923,482675.0,155203.0,93.4,6.6,16256,12407,17.9375,38.90333333333333,42.951666666666675,94.66287706166668,95.34351062333332,13527.0,2.85,114.04166666666667
bangsamoro autonomous region in muslim mindanao (barmm),Rice,2017,2404.616923076923,577984.0,221192.0,93.4,6.6,16256,12407,16.63666666666666,35.97090909090909,38.68333333333333,94.04315155249998,93.12751431083335,13154.0,2.85,114.04166666666667
philippines,Corn,2017,993.0884615384615,7914908.49,2552592.25,94.3,5.7,8772,1569,11.2675,25.202499999999997,25.495833333333337,91.03935741416666,91.96936551666666,14453.0,2.85,114.04166666666667
cordillera administrative region (car),Corn,2017,993.0884615384615,242850.0,61391.0,94.3,5.7,8772,1569,10.625454545454545,,21.94,87.05380751583334,94.1134665175,,2.85,114.04166666666667
region i (ilocos region),Corn,2017,993.0884615384615,556462.0,94870.0,94.3,5.7,8772,1569,12.108181818181817,,,95.18011294666667,92.09102699583333,,2.85,114.04166666666667
region ii (cagayan valley),Corn,2017,993.0884615384615,1837480.34,414792.25,94.3,5.7,8772,1569,11.123333333333333,,20.227500000000003,87.70608974416666,95.17206750833334,5579.0,2.85,114.04166666666667
region iii (central luzon),Corn,2017,993.0884615384615,258746.0,45875.0,94.3,5.7,8772,1569,9.174166666666666,,,90.78219029583333,91.46971227583334,,2.85,114.04166666666667
region iv-a (calabarzon),Corn,2017,993.0884615384615,92762.15,34803.0,94.3,5.7,8772,1569,13.894166666666665,,35.11666666666667,96.06342289583331,97.50004931833332,,2.85,114.04166666666667
